familyNumber,applicationNumber,applicationDate,publicationNumber,publicationDate,patentName,abstract,applicant,inventor,IPC,IPC_count,CPC,CPC_count,familyMembers (appNum),geographicalExtensions,familyDates_min,familyDates_max,timeDifference,backwardCitationsESpaceRaw,backwardCitationsESpaceA,backwardCitationsESpaceB,backwardCitationsGoogle,forwardCitationsGoogle,publicationNumberGoogle
043063941,BR112012021696A,2010-05-05,BR112012021696A2,2018-05-08,sistema de inspeção de veículos e de carga.,"sistema de inspeção de veículos e de carga. um aparelho para rastreamento por raios-x de veículos que inclui uma fonte de raios x pulsado gerando raios-x. um colimador forma um feixe em forma de leque é detectado depois de passar através de um veículo. um sensor de velocidade mede a velocidade do veículo que passa através do aparelho e fornece uma saída elétrica correspondente à velocidade. um módulo de formação de imagem converte uma saída do detector dentro de uma imagem do veículo, com base na velocidade medida do veículo. a seção cruzada do feixe em forma de leque é substancialmente similar a uma largura do detector. os raios-x compreendem principalmente fótons com energia entre 2,5 e 9 mev. um filtro é adjacente ao colimador para filtar fótons de raios-x de baixa energia. um sensor de presença do veículo pode ser utilizado, cuja saída é utilizada para ligar e desligar a fonte de raios-x. uma plataforma de alinhamento pode ser utilizada para alinhar o feixe em forma de leque com o detector. a frequência dos pulsos é ajustada com base na velocidade do veículo. a fonte de raios-x é desligada se a velocidade do veículo for inferior a um limite pré-determinado.",NAUCHNO PROIZVODSTVENNOE CHASTNOE UNITARNOE PREDPRIYATIE ADANI (BY),LINEV VLADIMIR N (BY),G01V5/00,1,"G01V5/223 (EP,US); G01V5/226 (EP,US)",2,BR112012021696A; BY2010000003W; CN201080065193A; EA201201424A; EP10737467A; PL10737467T; US74684910A,7,2011-11-10,2019-12-31,97,45,28,28,25,43,
043063941,PL10737467T,2010-05-05,PL2567267T3,2019-12-31,['CARGO AND VEHICLE INSPECTION SYSTEM'],,NAUCHNO PROIZVODSTVENNOE CHASTNOE UNITARNOE PREDPRIYATIE ADANI (BY),LINEV VLADIMIR N (BY),G01V5/00,1,"G01V5/223 (EP,US); G01V5/226 (EP,US)",2,BR112012021696A; BY2010000003W; CN201080065193A; EA201201424A; EP10737467A; PL10737467T; US74684910A,7,2011-11-10,2019-12-31,97,45,28,28,25,43,
046229115,PL12726339T,2012-04-04,PL2750725T3,2021-05-17,"['DENTAL IMPLANT, VASCULAR IMPLANT AND TISSUE IMPLANT MADE OF POROUS THREE-DIMENSIONAL STRUCTURE OF POLYTETRAFLUOROETHYLENE']",,DOSTA ANATOLI D (BY),DOSTA ANATOLI D (BY),A61L27/16; A61L27/56; C08J5/00; C08J9/24; C08L27/18,5,"A61C8/0012 (US); A61L27/16 (EP,US); A61L27/56 (EP,US); A61L31/048 (US); A61L31/146 (US); C08J9/24 (EP,US); C08J9/34 (EP,US); C08L27/18 (EP,US); C08J2205/05 (EP,US); C08J2207/10 (EP,US); C08J2327/18 (EP,US); Y10T428/1376 (EP,US); Y10T428/249921 (EP,US); Y10T428/249976 (EP,US)",14,BY2012000001W; CN201280048425A; EA201400287A; EP12726339A; ES12726339T; IL23119514A; PL12726339T; US201414194048A,8,2013-03-07,2021-06-23,99,43,26,26,19,7,
046229115,ES12726339T,2012-04-04,ES2835706T3,2021-06-23,"Implante dental, implante vascular e implante tisular realizados a partir de una estructura tridimensional porosa de politetrafluoroetileno","Estructura tridimensional porosa de politetrafluoroetileno realizada a partir de una mezcla de politetrafluoroetileno de libre circulación que tiene gránulos de un tamaño desde 100 hasta 300 micrómetros, y politetrafluoroetileno de circulación restringida que tiene gránulos de un tamaño de hasta 20 micrómetros y tiene una estructura tridimensional porosa del politetrafluoroetileno, denominada cuerpo tridimensional, que contiene los poros pasantes abiertos y los poros sin salida, distribuidos uniformemente a lo largo de la superficie interior de los poros abiertos y conectados con los mismos, en la que el volumen acumulado de los poros abiertos es mayor que el volumen acumulado de los poros sin salida y el tamaño medio de los poros sin salida constituye el 0,01 al 1,0 del tamaño medio de los poros abiertos, en la que el tamaño de los poros está distribuido aleatoriamente en el intervalo de 150 a 300 μm.",DOSTA ANATOLI D (BY),DOSTA ANATOLI D,A61L27/16; A61L27/56; C08J5/00; C08J9/24; C08L27/18,5,"A61C8/0012 (US); A61L27/16 (EP,US); A61L27/56 (EP,US); A61L31/048 (US); A61L31/146 (US); C08J9/24 (EP,US); C08J9/34 (EP,US); C08L27/18 (EP,US); C08J2205/05 (EP,US); C08J2207/10 (EP,US); C08J2327/18 (EP,US); Y10T428/1376 (EP,US); Y10T428/249921 (EP,US); Y10T428/249976 (EP,US)",14,BY2012000001W; CN201280048425A; EA201400287A; EP12726339A; ES12726339T; IL23119514A; PL12726339T; US201414194048A,8,2013-03-07,2021-06-23,99,43,26,26,19,7,
047844411,LT13708527T,2013-01-24,LT2806880T,2017-08-25,['PHARMACEUTICAL COMPOSITION AS A SUBSTANCE FOR ANTIREFLUX ANTACID DRUG'],,INST OF BIOORGANIC CHEMISTRY (BY),MAKARENKA VASILEVICH MIKHAIL (BY); PETROV TIMOPHEEVICH PETER (BY); DZIAMID IOSIPHOVICH DZMITRIY (BY); KAZYUCHITS ALEKSANDROVNA OLGA (BY); ILYANOK ALEXEEVNA HALINA (BY); HAURYLAU VLADIMIROVICH MIKHAIL (BY); USANAU ALEKSANDROVICH SIARHEI (BY),A61K31/734; A61K33/10; A61P1/04,3,A61K31/734 (EP); A61K33/00 (EP); A61K33/06 (EP); A61K33/10 (EP); A61P1/04 (EP),5,EA201400828A; EP13708527A; IB2013050602W; LT13708527T; PL13708527T,5,2013-08-01,2020-09-07,85,25,17,17,10,3,
047844411,PL13708527T,2013-01-24,PL2806880T3,2017-10-31,['PHARMACEUTICAL COMPOSITION AS A SUBSTANCE FOR ANTIREFLUX ANTACID DRUG'],,INST OF BIOORGANIC CHEMISTRY (BY); INST OF BIOORGANIC CHEMISTRY (BY),MAKARENKA VASILEVICH MIKHAIL (BY); PETROV TIMOPHEEVICH PETER (BY); DZIAMID IOSIPHOVICH DZMITRIY (BY); KAZYUCHITS ALEKSANDROVNA OLGA (BY); ILYANOK ALEXEEVNA HALINA (BY); HAURYLAU VLADIMIROVICH MIKHAIL (BY); USANAU ALEKSANDROVICH SIARHEI (BY); MAKARENKA VASILEVICH MIKHAIL (BY); PETROV TIMOPHEEVICH PETER (BY); DZIAMID IOSIPHOVICH DZMITRIY (BY); KAZYUCHITS ALEKSANDROVNA OLGA (BY); ILYANOK ALEXEEVNA HALINA (BY); HAURYLAU VLADIMIROVICH MIKHAIL (BY); USANAU ALEKSANDROVICH SIARHEI (BY),A61K31/734; A61K33/10; A61P1/04,3,A61K31/734 (EP); A61K33/00 (EP); A61K33/06 (EP); A61K33/10 (EP); A61P1/04 (EP),5,EA201400828A; EP13708527A; IB2013050602W; LT13708527T; PL13708527T,5,2013-08-01,2020-09-07,85,25,17,17,10,3,
048576659,PL13727022T,2013-05-06,PL2872067T3,2020-11-30,['DENTAL IMPLANT'],,JOINT STOCK COMPANY ALTIMED (BY),DOSTA ANATOLI D (BY); HALAUKO ALIAKSANDR I (BY),A61C8/00,1,"A61C8/0012 (EP,US); A61C8/0018 (EP,US); A61C8/0022 (US); A61C2008/0046 (EP,US)",4,AU2013289793A; BY2013000003W; CA2878854A; CN201380047473A; EA201201259A; EP13727022A; ES13727022T; IL23663215A; JP2015520780A; PL13727022T; UAA201508253A; US201514594878A,12,2014-01-16,2021-03-26,86,145,65,65,53,4,
048576659,ES13727022T,2013-05-06,ES2814276T3,2021-03-26,Implante dental,"Un implante dental con un soporte (1) para fijar una prótesis dental y una parte roscada (2) para instalación en el tejido óseo, así como con una cabeza anular (3) localizada entre el soporte de prótesis dental (1) y la parte roscada (2), fabricado de una estructura tri-dimensional porosa de un material polimérico y destinada para crecimiento dentro de los tejidos de las encías, caracterizado porque la cabeza anular está equipada con un elemento de refuerzo (4) fabricado como un cuerpo hueco de revolución con aberturas y localizado sobre la cabeza anular (3).",JOINT STOCK COMPANY ALTIMED (BY),DOSTA ANATOLI D; HALAUKO ALIAKSANDR I,A61C8/00,1,"A61C8/0012 (EP,US); A61C8/0018 (EP,US); A61C8/0022 (US); A61C2008/0046 (EP,US)",4,AU2013289793A; BY2013000003W; CA2878854A; CN201380047473A; EA201201259A; EP13727022A; ES13727022T; IL23663215A; JP2015520780A; PL13727022T; UAA201508253A; US201514594878A,12,2014-01-16,2021-03-26,86,145,65,65,53,4,
048626478,PL13729069T,2013-05-07,PL2994070T3,2020-12-14,['POROUS DENTAL IMPLANT'],,JOINT STOCK COMPANY ALTIMED (BY),DOSTA ANATOLI D (BY); HALAUKO ALIAKSANDR I (BY); DOSTA DMITRI A (BY),A61C8/00,1,"A61B6/51 (US); A61C8/0012 (EP,US); A61C8/0019 (EP,US); A61C8/0022 (US); A61C8/0036 (EP,US); A61C8/0037 (EP,US); A61C8/0075 (US); A61C2008/0046 (EP,US)",8,AU2013389223A; CA2911713A; CN201380076393A; EA201501082A; EP13729069A; ES13729069T; IB2013000971W; IL24234215A; JP2016512430A; KR20157034787A; PL13729069T; UAA201511931A; US201514935638A,13,2014-11-13,2021-04-27,77,48,27,27,15,14,
049550010,EP18158021A,2012-09-06,EP3366253A1,2018-08-29,['METHOD FOR BIOLOGICAL TISSURE REGENERATION AND DEVICE FOR CARRYING OUT THE METHOD'],"Die Anmeldung beschreibt eine Einrichtung für eine Ausführung eines Verfahrens zur biologischen Gewebeerneuerung mit Wiederherstellung der Leistungsmerkmale, Eigenschaften und Strukturen von Gewebe, wobei sie eine Laserstrahlungsquelle (9) sowie ein Mittel zur Bildung von zahlreichen Zentren (2) akustischer Wellen (1) auf der Oberfläche (3) der erneuerungsbedürftigen oder der höherliegenden biologischen Gewebe (4) aufweist, wobei dieses Mittel aus einem Stoff besteht, welcher über einen Effekt verfügt, Wellen mit einer vorgegebenen Wellenlänge selektiv zu absorbieren und wobei dieser Stoff auf die Oberfläche des biologischen Gewebes (4) an vorgegebenen Punktstellen mit vorgegebenen Maßen aufgetragen wird, wobei diese Punktstellen im gleichen Abstand zueinander liegen.",KHOMCHANKA ULADZIMIR VALIANTINAVICH (BY); GORBACH DMITRY VLADISLAVOVICH (BY); SUKHADOLAU ALIAKSANDR VALERJAVICH (BY),KHOMCHANKA ULADZIMIR VALIANTINAVICH (BY); GORBACH DMITRY VLADISLAVOVICH (BY); SUKHADOLAU ALIAKSANDR VALERJAVICH (BY),A61B18/20; A61H23/00; A61N7/00,3,"A61B18/203 (EP,CN,KR,US); A61H23/0245 (EP,CN,KR,US); A61N5/0616 (KR); A61N5/067 (KR); A61N7/00 (EP,CN,KR,US); A61B2018/00452 (EP,CN,KR,US); A61B2018/0047 (EP,CN,US); A61H2201/10 (EP,CN,US); A61N2007/0034 (EP,CN,US); A61N2007/0078 (EP,CN,US)",10,BY2012000002W; CN201280074276A; CN201710029622A; EA201200845A; EP12876284A; EP18158021A; HK15106916A; KR20147034894A; US201214400338A,7,2013-11-14,2020-01-21,74,40,28,28,21,0,
