familyNumber,applicationNumber,applicationDate,publicationNumber,publicationDate,patentName,abstract,applicant,inventor,IPC,IPC_count,CPC,CPC_count,familyMembers (appNum),geographicalExtensions,familyDates_min,familyDates_max,timeDifference,backwardCitationsESpaceRaw,backwardCitationsESpaceA,backwardCitationsESpaceB,backwardCitationsGoogle,forwardCitationsGoogle,publicationNumberGoogle
043975571,BR112013019417A,2012-01-31,BR112013019417A2,2020-10-27,"composições para o debridamento, granulação e reepitelização de ferimentos em seres humanos","composições para o debridamento, granulação e reepitelização de ferimentos em seres humanos a presente invenção refere-se a composições para aplicação tópica com base em produtos naturais, de modo específico, plantas secas e pulverizadas suspensas em mel de abelhas, em que os ingredientes estão combinados em proporções predeterminadas para obter três diferentes tipos de preparações para aplicações em várias fases de reparo e regeneração de tecidos lesionados. a plicação das composições encurta as fases de cicatrização no tratamento de lesões agudas e crônicas de qualquer grau de profundidade e extensão, e de qualquer etiologia. as propriedades das preparações incluem uma atividade vascular hemorreológica e sistêmica, que se prolonga por um período determinado, mesmo após o termino do tratamento tópico.",VICTOR HUGO ANGULO BORJA (EC),NURIA SULAYNE ANGULO CONFORME (EC); VICTOR GRACIEL ANGULO CONFORME (EC); VICTOR HUGO ANGULO BORJA (EC),A61K35/64; A61K35/644; A61K36/41; A61K36/68; A61K36/80; A61K36/81; A61P17/02,7,"A61K35/644 (EP,US); A61K36/21 (US); A61K36/41 (EP,US); A61K36/68 (EP,US); A61K36/80 (EP,US); A61K36/81 (EP,US); A61P17/02 (EP)",7,BR112013019417A; CO13206064A; ECSP13012860A; EP12728764A; IB2012000801W; ITRM20110042A; MX2013008550A; PE2013001709A; US201213982717A,9,2012-08-01,2020-10-27,98,0,0,0,0,0,
046598451,BR112014001504A,2012-07-24,BR112014001504A2,2017-02-14,método para produzir painéis flexíveis de madeira balsade corte transversal,"resumo patente de invenção: ""método para produzir painéis flexíveis de madeira balsa de corte transversal"". a presente invenção refere-se a um método para a produção de um painel flexível de núcleo de madeira balsa de corte tranversal (80, 100), o qual é conformável com uma superfície de contornos, no qual em um lado do núcleo da madeira balsa (95), uma tela de algodão (26) é aplicada. o método compreende as seguintes etapas: a. produzir um painel colado nas beiras (egp) a partir de uma pluralidade de vigas uniformes de madeira serrada (10) todas com a mesma direção do grão (dg) se estendendo de modo longitudinal, provendo pelo menos em uma parte lateral (62) de cada viga de madeira serrada (10) um adesivo, organizando um número predefinido de vigas de madeira serrada (10) em uma única linha e colando as partes laterais (62) das vigas de madeira serrada (10); b. cortar o egp (60) em um ângulo reto na direção do grão (degp) em um número de ripas individuais de madeira serrada (65), todas com a mesma espessura e comprimento; c. dispor um número predefinido de ripas de madeira serrada (65) lado a lado sobre uma superfície plana ou plataforma para que uma parte lateral (66) fique em contato com a superfície plana ou plataforma e compactar mecanicamente as ripas de madeira serrada (65) para que pelo menos um dos seus lados compridos (68) fique em grande contato com a ripa adjacente de madeira serrada (65); d. colar uma tela de algodão (26) em uma parte lateral compartilhada das ripas compactadas de madeira serrada (67) resultando em um painel transversalmente dobrável de núcleo de madeira balsa de corte tranversal (80).",PLANTACIONES DE BALSA PLANTABAL S A (EC),ALLISON ANDRADE (EC); BUENO FAUSTO (EC); CHRISTIAN GATTIKER (CH); SASCHA MATTHIAS JUNGHANNS (DE),B27M3/00; B29C63/00; B32B3/16; B63B5/06; E04C2/24; E04F13/08; F03D1/06,7,B27M3/0013 (EP); B32B21/10 (EP); B32B21/14 (EP); B32B3/16 (EP); B32B5/024 (EP); B32B2260/021 (EP); B32B2260/046 (EP); B32B2262/101 (EP); B32B2605/00 (EP); Y02E10/72 (EP),10,BR112014001504A; CN201280036838A; CO14022065A; EP11006104A; EP12740892A; EP2012003112W,4,2013-01-30,2017-02-14,49,0,0,0,0,0,
052280644,ECPI201605630A,2016-02-11,ECSP16005630A,2017-02-24,DERIVADOS DE DEHIDROLEUCODINA Y USOS DE ESTOS,"La presente invención proporciona derivados de dehidroleucodina. En particular, la presente invención proporciona derivados de amina de dehidroleucodina y métodos para utilizar la dehidroleucodina y los derivados de amina de dehidroleucodina para inhibir el crecimiento de las células de cáncer.",UNIV ARKANSAS (US); UNIV TECNICA PARTICULAR DE LOJA (EC); UNIV CORNELL (US),JONES DARIN E (US); COMPADRE CESAR M (US); ORDOÑEZ PAOLA E (EC); CROOKS PETER (US); MALAGON OMAR (CO); GUZMAN MONICA L (US); VIDARI GIOVANNI (IT),A61K31/365; C07D307/93; C07D493/04,3,"A61K31/365 (EP,US); A61P35/00 (EP); A61P35/02 (EP); C07D307/77 (EP,US); C07D307/93 (EP,US); C07D405/06 (EP,US)",6,CA2917343A; ECPI201605630A; EP14823619A; US2014046389W; US201414903545A; US201916283196A,4,2015-01-15,2021-07-13,78,0,0,0,0,0,
052280644,US201916283196A,2019-02-22,US11059800B2,2019-06-20,['DEHYDROLEUCODINE DERIVATIVES AND USES THEREOF'],"The present invention provides dehydroleucodine derivatives. In particular, the present invention provides amine derivatives of dehydroleucodine and methods of using dehydroleucodine and the amine derivatives of dehydroleucodine to inhibit the growth of cancer cells.",BIOVENTURES LLC (US); UNIV TECNICA PARTICULAR DE LOJA (EC); UNIV CORNELL (US); BIOVENTURES LLC (US); UNIV TECNICA PARTICULAR DE LOJA (EC); UNIV CORNELL (US),COMPADRE CESAR M (US); ORDONEZ PAOLA E (EC); GUZMAN MONICA L (US); JONES DARIN E (US); MALAGON OMAR (EC); VIDARI GIOVANNI (EC); CROOKS PETER (US); COMPADRE CESAR M (US); ORDONEZ PAOLA E (EC); GUZMAN MONICA L (US); JONES DARIN E (US); MALAGON OMAR (EC); VIDARI GIOVANNI (EC); CROOKS PETER (US),A61K31/365; C07D307/77; C07D307/93; C07D405/06,4,"A61K31/365 (EP,US); A61P35/00 (EP); A61P35/02 (EP); C07D307/77 (EP,US); C07D307/93 (EP,US); C07D405/06 (EP,US)",6,CA2917343A; ECPI201605630A; EP14823619A; US2014046389W; US201414903545A; US201916283196A,4,2015-01-15,2021-07-13,78,0,0,0,0,0,
052392769,ECPI201401231A,2014-05-19,ECSP14001231A,2017-07-31,"COMPOSICIÓN BIOCIDA PARA EL CONTROL DE PLAGAS Y ESPECIES INVASORAS, PRODUCTOS DE REVESTIMIENTO Y SU USO","Una composición biocida para el control de especies invasoras de ecosistemas naturales e intervenidos por el ser humano con acción insecticida, acaricida, molusquicida, algicida, fungicida, repelente de artrópodos, inhibidora de la síntesis de la quitina y/o reguladora de la hormona juvenil de insectos, que comprende: al menos un biocida del tipo biocida de síntesis de origen orgánico o inorgánico, biocida natural de origen vegetal o mineral en un porcentaje comprendido entre 0,1% y 75%; y agua",MARIA PILAR MATEO HERRERO (EC),MARIA PILAR MATEO HERRERO (EC),A01N25/00; C09D5/14,2,"A01N25/00 (ES); A01N25/28 (EP); A01N43/90 (EP); A01N53/00 (EP); A01N57/16 (EP); A01N59/16 (EP); C09D5/14 (EP,ES); Y02A90/40 (EP)",8,ARP140101293A; ECPI201401231A; EP14722517A; ES201331114A; ES2014070026W; UY35591A,5,2015-01-29,2017-07-31,30,0,0,0,0,0,
052666377,BR112016005509A,2014-09-15,BR112016005509A8,2019-01-22,"método de preparação de um extrato de sementes de urucum (anato), composição, extrato vegetal, e composição farmacêutica","resumo método de preparação de um extrato de sementes de urucum (anato), composição, extrato vegetal, e composição farmacêutica são proporcionados aqui extratos vegetais, composições, composições farmacêuticas e métodos de preparação e uso destes. as composições compreendem ?- tocotrienol (gt3) e ?-tocotrienol (dt3) em proporções nas quais o dt3 é predominante. as composições são úteis para radioproteção e radiomitigação em indivíduos com necessidade de tal. 1/1",UNIV ARKANSAS (US); US VETERANS AFFAIRS (US); UNIV TECNICA PARTICULAR DE LOJA (EC); UNIV ARKANSAS (US); US VETERANS AFFAIRS (US); UNIV TECNICA PARTICULAR DE LOJA (EC),CESAR COMPADRE (US); DARIN JONES (US); E NATHALIE PINEDA (US); EDGAR OJEDA (EC); MARTIN HAUER-JENSEN (US); NUKHET AYKIN-BURNS (US); OMAR GERMAN MALAGÓN AVILÉS (EC); PHILIP BREEN (US); RAUL G ENRIQUEZ (MX); SHRADDHA THAKKAR (US); SUJAY KHARADE (US); YADIRA ORDONEZ (EC); CESAR COMPADRE (US); DARIN JONES (US); E NATHALIE PINEDA (US); EDGAR OJEDA (EC); MARTIN HAUER-JENSEN (US); NUKHET AYKIN-BURNS (US); OMAR GERMAN MALAGÓN AVILÉS (EC); PHILIP BREEN (US); RAUL G ENRIQUEZ (MX); SHRADDHA THAKKAR (US); SUJAY KHARADE (US); YADIRA ORDONEZ (EC),A61K36/00,1,"A61K31/355 (EP,IL,KR,US); A61K36/185 (EP,IL,KR,US); A61P17/16 (EP); A61P17/18 (EP); A61P25/04 (EP); A61P25/28 (EP); A61P27/02 (EP); A61P27/06 (EP); A61P27/12 (EP); A61P29/00 (EP); A61P3/00 (EP); A61P3/02 (EP); A61P3/06 (EP); A61P3/10 (EP); A61P31/04 (EP); A61P35/00 (EP); A61P37/02 (EP); A61P39/00 (EP); A61P39/06 (EP); A61P43/00 (EP); A61P7/00 (EP); A61P7/02 (EP); A61P7/10 (EP); A61P9/10 (EP); A61K2236/00 (EP,IL,US); A61K2236/30 (KR); A61K2236/35 (IL,KR,US); A61K2236/55 (IL,US)",28,BR112016005509A; CA2924126A; EP14843688A; IL26279718A; JP2016542853A; JP2018194186A; KR20167009309A; MX2016003215A; US2014055657W; US201415021376A; US201815996101A,8,2015-03-19,2023-11-01,104,0,0,0,0,0,
052666377,US201815996101A,2018-06-01,US10357474B2,2018-09-27,['Preparation and Use of a Composition for Prevention and Mitigation of the Effects of Radiation'],"Plant extracts, compositions, pharmaceutical compositions and methods of making and using the same are provided herein. The compositions comprise γ-tocotrienol (GT3) and δ-tocotrienol (DT3) in ratios wherein the DT3 is predominate. The compositions are useful for radioprotection and radiomitigation in subjects in need thereof.",BIOVENTURES LLC (US); UNIV TECNICA PARTICULAR DE LOJA (EC); US VETERANS AFFAIRS (US); BIOVENTURES LLC (US); UNIV TECNICA PARTICULAR DE LOJA (EC); US VETERANS AFFAIRS (US),COMPADRE CESAR M (US); BREEN PHILIP (US); AYKIN-BURNS NUKHET (US); HAUER-JENSEN MARTIN (US); ENRIQUEZ RAUL G (MX); KHARADE SUJAY (US); MALAGON OMAR (EC); ORDONEZ YADIRA (EC); OJEDA EDGAR (EC); THAKKAR SHRADDHA (US); PINEDA E NATHALIE (US); JONES DARIN (US); COMPADRE CESAR M (US); BREEN PHILIP (US); AYKIN-BURNS NUKHET (US); HAUER-JENSEN MARTIN (US); ENRIQUEZ RAUL G (MX); KHARADE SUJAY (US); MALAGON OMAR (EC); ORDONEZ YADIRA (EC); OJEDA EDGAR (EC); THAKKAR SHRADDHA (US); PINEDA E NATHALIE (US); JONES DARIN (US),A61K31/355; A61K36/185,2,"A61K31/355 (EP,IL,KR,US); A61K36/185 (EP,IL,KR,US); A61P17/16 (EP); A61P17/18 (EP); A61P25/04 (EP); A61P25/28 (EP); A61P27/02 (EP); A61P27/06 (EP); A61P27/12 (EP); A61P29/00 (EP); A61P3/00 (EP); A61P3/02 (EP); A61P3/06 (EP); A61P3/10 (EP); A61P31/04 (EP); A61P35/00 (EP); A61P37/02 (EP); A61P39/00 (EP); A61P39/06 (EP); A61P43/00 (EP); A61P7/00 (EP); A61P7/02 (EP); A61P7/10 (EP); A61P9/10 (EP); A61K2236/00 (EP,IL,US); A61K2236/30 (KR); A61K2236/35 (IL,KR,US); A61K2236/55 (IL,US)",28,BR112016005509A; CA2924126A; EP14843688A; IL26279718A; JP2016542853A; JP2018194186A; KR20167009309A; MX2016003215A; US2014055657W; US201415021376A; US201815996101A,8,2015-03-19,2023-11-01,104,0,0,0,0,0,
052666377,IL26279718A,2018-11-05,IL262797A,2018-12-31,['Preparation and use of a composition for prevention and mitigation of the effects of radiation'],,UNIV TECNICA PARTICULAR DE LOJA (EC); BIOVENTURES LLC (US); UNITED STATES DEPT OF VETERANS AFFAIRS (US); UNIV TECNICA PARTICULAR DE LOJA; BIOVENTURES LLC; UNITED STATES DEPT OF VETERANS AFFAIRS,,,0,"A61K31/355 (EP,IL,KR,US); A61K36/185 (EP,IL,KR,US); A61P17/16 (EP); A61P17/18 (EP); A61P25/04 (EP); A61P25/28 (EP); A61P27/02 (EP); A61P27/06 (EP); A61P27/12 (EP); A61P29/00 (EP); A61P3/00 (EP); A61P3/02 (EP); A61P3/06 (EP); A61P3/10 (EP); A61P31/04 (EP); A61P35/00 (EP); A61P37/02 (EP); A61P39/00 (EP); A61P39/06 (EP); A61P43/00 (EP); A61P7/00 (EP); A61P7/02 (EP); A61P7/10 (EP); A61P9/10 (EP); A61K2236/00 (EP,IL,US); A61K2236/30 (KR); A61K2236/35 (IL,KR,US); A61K2236/55 (IL,US)",28,BR112016005509A; CA2924126A; EP14843688A; IL26279718A; JP2016542853A; JP2018194186A; KR20167009309A; MX2016003215A; US2014055657W; US201415021376A; US201815996101A,8,2015-03-19,2023-11-01,104,0,0,0,0,0,
053487481,ECPI201424418A,2014-10-27,ECSP14024418A,2017-01-31,"""COMPOSICIÓN ACUOSA BIODEGRADABLE A BASE DE EXTRACTOS NATURALES PARA LA LIMPIEZA, Y COMO DESINFECTANTE, REPELENTE DE INSECTOS, INSECTICIDA Y AROMATIZANTE""","La invención proporciona una composición acuosa biodegradable a base de extractos naturales (esencias naturales y aceites esenciales), amonio cuaternario, propilenglicol, Cellocize, EDTA, Tween 80, ácido bórico, aromas, colorantes y agua, para limpieza, desinfección como antiséptico y que posee una actividad bactericida de amplio espectro, es decir, bactericida a la vez sobre bacterias gram positivas y gram negativas; asímismo, como insecticida o por lo menos como repelente de insectos y como aromatizador.",BULJUBASICH MURILLO ADELA MONICA (EC),BULJUBASICH MURILLO ADELA MONICA (EC),,0,"A01N25/04 (US); A01N25/22 (US); A01N25/30 (US); A01N33/12 (EP,US); A01N59/14 (EP,US); A01N65/00 (EP,US); A01N65/22 (EP,US); A01N65/28 (EP,US); C11D1/62 (EP,US); C11D1/662 (US); C11D1/835 (EP,US); C11D3/042 (EP,US); C11D3/2044 (EP,US); C11D3/2065 (US); C11D3/225 (EP,US); C11D3/33 (EP,US); C11D3/382 (US); C11D3/40 (EP,US); C11D3/48 (EP,US); C11D3/50 (EP,US); C11D1/667 (EP,US); Y02A50/30 (EP)",22,ECPI201424418A; IB2015056447W; PE2014001349A; US201515504569A,4,2015-05-07,2017-08-24,27,0,0,0,0,0,
053487481,US201515504569A,2015-08-26,US2017238557A1,2017-08-24,"['AQUEOUS COMPOSITION BASED ON NATURAL EXTRACTS FOR CLEANING, AND AS A DISINFECTANT, INSECT REPELLENT, INSECTICIDE AND FRESHENER']","The invention provides a biodegradable aqueous composition based on natural extracts (natural essences and essential oils), quaternary ammonium, propylene glycol, Cellocize, EDTA, Tween 80, boric acid, aromas, colorants and water, for cleansing, disinfecting as an antiseptic and possessing a broad-spectrum bactericidal activity, ie bactericidal at once on gram positive and gram negative bacteria; also as an insecticide or at least as an insect repellent and as a freshener.",BULJUBASICH MURILLO ADELA MONICA (EC),BULJUBASICH MURILLO ADELA MONICA (EC),A01N25/04; A01N25/22; A01N25/30; A01N33/12; A01N59/14; A01N65/22; A01N65/28; C11D1/62; C11D1/66; C11D3/04; C11D3/20; C11D3/22; C11D3/33; C11D3/382; C11D3/40; C11D3/48; C11D3/50,17,"A01N25/04 (US); A01N25/22 (US); A01N25/30 (US); A01N33/12 (EP,US); A01N59/14 (EP,US); A01N65/00 (EP,US); A01N65/22 (EP,US); A01N65/28 (EP,US); C11D1/62 (EP,US); C11D1/662 (US); C11D1/835 (EP,US); C11D3/042 (EP,US); C11D3/2044 (EP,US); C11D3/2065 (US); C11D3/225 (EP,US); C11D3/33 (EP,US); C11D3/382 (US); C11D3/40 (EP,US); C11D3/48 (EP,US); C11D3/50 (EP,US); C11D1/667 (EP,US); Y02A50/30 (EP)",22,ECPI201424418A; IB2015056447W; PE2014001349A; US201515504569A,4,2015-05-07,2017-08-24,27,0,0,0,0,0,
