familyNumber,applicationNumber,applicationDate,publicationNumber,publicationDate,patentName,abstract,applicant,inventor,IPC,IPC_count,CPC,CPC_count,familyMembers (appNum),geographicalExtensions,familyDates_min,familyDates_max,timeDifference,backwardCitationsESpaceRaw,backwardCitationsESpaceA,backwardCitationsESpaceB,backwardCitationsGoogle,forwardCitationsGoogle,publicationNumberGoogle
042370954,PT10781492T,2010-11-18,PT2501244T,2018-04-16,['A MACHINE FOR PRODUCING MAZLUGA'],,LES PATES WARDA SA (TN),ADOLFO BIANCHI (IT),A23L7/143; A23P10/25,2,A23L7/143 (EP); A23P10/25 (EP),2,EP10781492A; EP2010067725W; ES10781492T; ITMI20092039A; MA34982A; PT10781492T; TN2012000236A,6,2011-05-20,2018-04-24,83,0,0,0,0,0,
043034446,IL21921112A,2012-04-15,IL219211A,2017-06-29,['Automated enterprise software development'],,VERMEG SERVICES SARL (TN),,,0,"G06F11/36 (EP,US); G06F11/3688 (EP,US); G06F11/3696 (EP,US); G06F8/10 (EP,CN,US); G06F8/20 (US); G06F8/35 (EP,CN,US); G06F11/3636 (EP,US); G06F8/36 (EP,US)",8,AU2010308132A; BR112012008763A; CA2777443A; CN201080056912A; CN201610670224A; EP10760407A; IB2010002037W; IL21921112A; MA34851A; SG10201500690RA; TN2012000172A; US201313955362A; US201715675238A; US83924310A; ZA201202757A,12,2011-04-14,2020-07-14,111,0,0,0,0,0,
043034446,US201715675238A,2017-08-11,US10324690B2,2018-01-25,['AUTOMATED ENTERPRISE SOFTWARE DEVELOPMENT'],"The preferred embodiment provides a system and method for automatically generating enterprise software applications with minimal level of manual coding. The preferred embodiment provide a graphical design tool that models an application using Unified Model Language (UML), validate the UML model, and automatically generate deployable application The preferred embodiment also provides a framework of libraries that the target application ca be build from.",VERMEG SERVICES SARL (TN); VERMEG SERVICES SARL (TN),OUALI BADREDDINE (TN); OUALI BADREDDINE (TN),G06F9/44; G06F11/36; G06F8/10; G06F8/20; G06F8/35,5,"G06F11/36 (EP,US); G06F11/3688 (EP,US); G06F11/3696 (EP,US); G06F8/10 (EP,CN,US); G06F8/20 (US); G06F8/35 (EP,CN,US); G06F11/3636 (EP,US); G06F8/36 (EP,US)",8,AU2010308132A; BR112012008763A; CA2777443A; CN201080056912A; CN201610670224A; EP10760407A; IB2010002037W; IL21921112A; MA34851A; SG10201500690RA; TN2012000172A; US201313955362A; US201715675238A; US83924310A; ZA201202757A,12,2011-04-14,2020-07-14,111,0,0,0,0,0,
044060113,PL10777042T,2010-11-19,PL2501502T3,2017-02-28,['METHOD FOR THE CLEANUP OF CONTAMINATED SITE/SEDIMENTS'],,INST DE RECH POUR LE DÉVELOPPEMENT I R D (FR); INST NAT SCIENCES APPLIQUEES TECH (TN),OLLIVIER BERNARD (FR); FARDEAU MARIE-LAURE (FR); BEN HANIA WAJDI (TN); GHODBANE RAMZI (TN); HAMDI MOKTAR (TN),B09C1/00; B09C1/10; C02F3/34,3,"B09C1/002 (EP,US); B09C1/10 (EP,US); C02F3/28 (US); C02F3/345 (US); Y02E50/30 (EP,US)",5,EP10777042A; EP2010067848W; PL10777042T; US201013509914A,3,2011-05-26,2017-02-28,69,0,0,0,0,0,
047049115,DK12425153T,2012-09-14,DK2708643T3,2018-02-12,Fremgangsmåde til forbehandling af biomasser inden omdannelse til biobrændstof,,MEDITERRANEA SOLUTIONS S U A R L (TN),LA FROSCIA SABATINO (IT),B02C23/14; B07B1/00; B07B15/00; C12P3/00; C12P7/10; C12P7/16; D21B1/06,7,"B02C23/14 (US); B02C23/16 (US); B07B1/00 (US); B07B15/00 (US); C12P3/00 (US); C12P7/10 (US); C12P7/16 (US); D21B1/06 (EP,US); B02C2023/165 (US); C12P2201/00 (US); C12P2203/00 (US); Y02E50/10 (EP,US)",12,CY181100155T; DK12425153T; EP12425153A; ES12425153T; HRP20180207T; HUE12425153A; IB2013058528W; LT12425153T; NO12425153A; PL12425153T; PT12425153T; RSP20180134A; SI201231197T; TN2015000074A; US201314425545A,15,2014-03-19,2018-10-31,55,0,0,0,0,0,
047049115,SI201231197T,2012-09-14,SI2708643T1,2018-04-30,['Method for pretreating biomasses prior to conversion to biofuel'],,MEDITERRANEA SOLUTIONS S U A R L (TN),LA FROSCIA SABATINO (IT),,0,"B02C23/14 (US); B02C23/16 (US); B07B1/00 (US); B07B15/00 (US); C12P3/00 (US); C12P7/10 (US); C12P7/16 (US); D21B1/06 (EP,US); B02C2023/165 (US); C12P2201/00 (US); C12P2203/00 (US); Y02E50/10 (EP,US)",12,CY181100155T; DK12425153T; EP12425153A; ES12425153T; HRP20180207T; HUE12425153A; IB2013058528W; LT12425153T; NO12425153A; PL12425153T; PT12425153T; RSP20180134A; SI201231197T; TN2015000074A; US201314425545A,15,2014-03-19,2018-10-31,55,0,0,0,0,0,
047049115,HUE12425153A,2012-09-14,HUE036033T2,2018-06-28,['Method for pretreating biomasses prior to conversion to biofuel'],,MEDITERRANEA SOLUTIONS S U A R L (TN),LA FROSCIA SABATINO (IT),B02C23/14; B07B1/00; B07B15/00; C12P3/00; C12P7/10; C12P7/16; D21B1/06,7,"B02C23/14 (US); B02C23/16 (US); B07B1/00 (US); B07B15/00 (US); C12P3/00 (US); C12P7/10 (US); C12P7/16 (US); D21B1/06 (EP,US); B02C2023/165 (US); C12P2201/00 (US); C12P2203/00 (US); Y02E50/10 (EP,US)",12,CY181100155T; DK12425153T; EP12425153A; ES12425153T; HRP20180207T; HUE12425153A; IB2013058528W; LT12425153T; NO12425153A; PL12425153T; PT12425153T; RSP20180134A; SI201231197T; TN2015000074A; US201314425545A,15,2014-03-19,2018-10-31,55,0,0,0,0,0,
047049115,PL12425153T,2012-09-14,PL2708643T3,2018-10-31,['Method for pretreating biomasses prior to conversion to biofuel'],,MEDITERRANEA SOLUTIONS S U A R L (TN),LA FROSCIA SABATINO (IT),B02C23/14; B07B1/00; B07B15/00; C12P3/00; C12P7/10; C12P7/16; D21B1/06,7,"B02C23/14 (US); B02C23/16 (US); B07B1/00 (US); B07B15/00 (US); C12P3/00 (US); C12P7/10 (US); C12P7/16 (US); D21B1/06 (EP,US); B02C2023/165 (US); C12P2201/00 (US); C12P2203/00 (US); Y02E50/10 (EP,US)",12,CY181100155T; DK12425153T; EP12425153A; ES12425153T; HRP20180207T; HUE12425153A; IB2013058528W; LT12425153T; NO12425153A; PL12425153T; PT12425153T; RSP20180134A; SI201231197T; TN2015000074A; US201314425545A,15,2014-03-19,2018-10-31,55,0,0,0,0,0,
047049115,HRP20180207T,2018-02-06,HRP20180207T1,2018-03-09,['METHOD FOR PRETREATING BIOMASSES PRIOR TO CONVERSION TO BIOFUEL'],,MEDITERRANEA SOLUTIONS S U A R L (TN),LA FROSCIA SABATINO (IT),B02C23/14; B07B1/00; B07B15/00; C12P3/00; C12P7/10; C12P7/16; D21B1/06,7,"B02C23/14 (US); B02C23/16 (US); B07B1/00 (US); B07B15/00 (US); C12P3/00 (US); C12P7/10 (US); C12P7/16 (US); D21B1/06 (EP,US); B02C2023/165 (US); C12P2201/00 (US); C12P2203/00 (US); Y02E50/10 (EP,US)",12,CY181100155T; DK12425153T; EP12425153A; ES12425153T; HRP20180207T; HUE12425153A; IB2013058528W; LT12425153T; NO12425153A; PL12425153T; PT12425153T; RSP20180134A; SI201231197T; TN2015000074A; US201314425545A,15,2014-03-19,2018-10-31,55,0,0,0,0,0,
050184990,ES14706981T,2014-01-22,ES2654916T3,2018-02-15,Complemento alimenticio omega 3 mejorado a base de aceite marino,"Complemento alimenticio que comprende - un primer aceite que tiene un primer resultado lipídico de prevención superior al contenido en lípidos totales en este primer aceite, siendo este primer aceite un aceite marino; - un segundo aceite que tiene un segundo resultado lipídico de prevención inferior al contenido en lípidos totales en este segundo aceite, siendo este segundo aceite un aceite vegetal y/o marino; caracterizándose este complemento por que el resultado lipídico de prevención de la mezcla del primer aceite y del segundo aceite es sustancialmente igual al contenido, en esta mezcla, en lípidos totales.",GUETARI SAMI (TN),GUETARI SAMI,A23L33/10,1,"A23L33/115 (EP,US); A23L33/12 (EP,US); A61K35/60 (US); A61K36/18 (US); A61K36/28 (US); A61K36/31 (US); A61K36/48 (US); A61K36/55 (US); A61K36/63 (US); A61K36/71 (US); A61K36/736 (US); A61K36/899 (US); A61P3/06 (EP); A23V2002/00 (US)",14,EP14706981A; ES14706981T; JP2015555132A; TN2013000036A; TN2014000001W; TR201802213T; US201414764252A,6,2014-06-25,2019-05-29,59,0,0,0,0,0,
