familyNumber,applicationNumber,applicationDate,publicationNumber,publicationDate,patentName,abstract,applicant,inventor,IPC,IPC_count,CPC,CPC_count,familyMembers (appNum),geographicalExtensions,familyDates_min,familyDates_max,timeDifference,backwardCitationsESpaceRaw,backwardCitationsESpaceA,backwardCitationsESpaceB,backwardCitationsGoogle,forwardCitationsGoogle,publicationNumberGoogle
024319517,BR0102828A,2001-05-30,BRPI0102828A2,2017-01-17,"sistema de processo de fabricação de vestimentas absorventes descartáveis, tais como fraldas ou calções de treinamento","sistema e processo de fabricação de vestimentas absorventes descartáveis, tais como fraldas ou calções de treinamento. em um método de formação de uma estrutura de trama composta que é passível de ser finalizada para formar uma vestimenta absorvente descartável, é formado um conjunto de folha superior que possui um par de barreiras de pernas elastificadas, que se estendem longitudinalmente. o conjunto de folha superior é então aplicado sobre um conjunto de núcleo, para criar um primeiro conjunto de estrutura de trama. também é formado um conjunto de folha posterior, que inclui um material de folha posterior, e este conjunto de folha posterior é aplicado sobre o primeiro conjunto de estrutura de trama para formar um segundo conjunto de estrutura de trama. em seguida, o segundo conjunto de estrutura de trama é cortado em um ou mais lugares, para formar a estrutura de trama composta passível de ser finalizada. a etapa de formação de um conjunto de folha superior inclui o fornecimento de duas tramas de material de folha superior e duas tramas de material elástico; aplicação de cada trama de material elástico sobre uma das tramas do material de folha superior, para formar duas tramas subseqüentes; e dobra de cada uma das tramas subseqüentes ao redor do material elástico, para criar um conjunto que possui barreiras de pernas elastificadas. além disso, a etapa de formação de um conjunto de folha superior inclui geralmente as etapas de fornecimento de uma primeira 20 trama e uma segunda trama de um material de forro polimérico, respectivamente, e aplicação da primeira trama do material de forro polimérico sobre uma das tramas do material de folha superior e da segunda trama do material de forro polimérico sobre a outra trama de material de folha superior. cada trama de material de forro polimérico é aplicada em local adjacente a uma trama do material elástico, de tal forma que, em uma etapa subseqüente de dobra, é criada uma barreira de perna que contém uma camada de material de folha superior, uma segunda camada do material de forro polimérico e material elástico entre elas .",STRONGER CORPORACION S A (UY),GARDNER DANIEL D JR (US),A41B13/04; A61F13/15,2,"A61F13/15593 (EP,US); A61F13/49015 (EP,US); A61F13/4942 (EP,US); A61F13/496 (EP,US); Y10T156/1011 (EP,US); Y10T156/1034 (EP,US); Y10T156/1077 (EP,US); Y10T156/1089 (EP,US)",8,AU6516301A; BR0102828A; CA2411042A; EP01939670A; US0117406W; US38532303A; US58006600A,5,2001-12-06,2017-01-17,181,0,0,0,0,0,
024320458,BR0103671A,2001-05-30,BRPI0103671A2,2017-01-17,"vestimenta absorvente descartável, como fraldas ou calções de treinamento , e processo de sua fabricação","vestimenta absorvente descartável, como fraldas ou calções de treinamento, e processo de sua fabricação. fralda absorvente descartável, que inclui uma folha superior, uma folha posterior e um núcleo absorvente disposto entre a folha superior e a folha posterior. a folha superior, a folha posterior e o núcleo absorvente formam um conjunto em camadas, que inclui uma região frontal, uma região posterior e uma região entre pernas disposta entre a região frontal e a região posterior. a vestimenta caracteriza-se por um plano longitudinal vertical que se estende de forma substancialmente central através das regiões frontal, posterior e entre pernas. cada uma das regiões frontal e posterior inclui um par de partes de aba que se estendem em direções laterais substancialmente opostas com relação ao plano longitudinal. cada parte de aba é um conjunto de camada estirável e respirável, que possui uma série de locais de ventilação. além disso, cada parte de aba inclui uma camada externa, que é uma extensão da folha posterior e estende-se lateralmente à borda lateral da parte de aba, e uma camada interna, que é uma extensão da folha  superior e também se estende lateralmente à borda lateral da parte de aba. a parte de aba também inclui uma camada de material estirável presa entre a camada interna e a camada externa. a folha superior inclui uma seção central que é disposta geralmente em uma seção central da vestimenta e sobre o núcleo. cada seção de um par de seções laterais da folha superior estende~se lateralmente e forma a camada interna de duas das porções de aba. a seção lateral também forma uma seção de parede externa de uma barreira de perna que se estende longitudinalmente ao longo da face lateral do núcleo. uma seção de parede interna da barreira de perna é uma parte de um material substancialmente impermeável que se estende por debaixo da barreira de perna, para vincular de forma fechada a borda lateral de uma barreira de filme polimérico disposta abaixo do núcleo. o material substancialmente impermeável e a barreira de filme polimérico combinam-se para formar uma estrutura de retenção substancialmente impermeável em volta dos lados e da parte inferior do núcleo. em um método de formação de uma estrutura de trama composta que é passível de ser finalizada para formar uma vestimenta absorvente descartável, é formado um conjunto de folha superior que possui um par de barreiras de pernas elastificadas, que se estendem longitudinalmente. o conjunto de folha superior é então aplicado sobre um conjunto de núcleo, para criar um primeiro conjunto de estrutura de trama. também é formado um conjunto de folha posterior, que inclui um material de folha posterior, e este conjunto de folha posterior é aplicado sobre o primeiro conjunto de estrutura de trama para formar um segundo conjunto de estrutura de trama. em seguida, o segundo conjunto de estrutura de trama é cortado em um ou mais lugares, para formar a estrutura de trama composta passível de ser finalizada. a etapa de formação de um conjunto de folha superior inclui o ornecimento de duas tramas de material de folha superior e duas tramas de material elástico; aplicação de cada trama de material elástico sobre uma das tramas do material de folha superior, para formar duas tramas subseqüentes; e dobra de cada uma das tramas subseqüentes ao redor do material elástico, para criar um conjunto que possui barreiras de pernas elastificadas. além disso, a etapa de formação de um conjunto de folha superior inclui geralmente as etapas de fornecimento de uma primeira trama e uma segunda trama de um material de forro polimérico, respectivamente, e aplicação da primeira trama do material de forro polimérico sobre uma das tramas do material de folha superior e da segunda trama do material de forro polimérico sobre a outra trama de material de folha superior. cada trama de material de forro polimérico é aplicada em local adjacente a uma trama do material elástico, de tal forma que, em uma etapa subseqüente de dobra, é criada uma barreira de perna que contém uma camada de material de folha superior, uma segunda camada do material de forro polimérico e material elástico entre elas.",STRONGER CORP S A (UY),GARDNER DANIEL D JR (US); KLEMP WALTER V (US),A61F13/15,1,"A61F13/49015 (EP,US); A61F13/4942 (EP,US); A61F13/496 (EP,US); A61F2013/8497 (EP,US); Y10T156/1054 (EP,US); Y10T156/1056 (EP,US)",6,AT01939659T; AU6515301A; BR0103671A; CA2410963A; DK01939659T; EP01939659A; ES01939659T; MXPA02011859A; US0117389W; US35804303A; US37334503A; US58028200A,9,2001-12-06,2018-04-04,196,0,0,0,0,0,
037057487,BR7601003U,1996-06-12,BRMU7601003U2,2017-01-24,procedimento de sinalização viaria,"procedimento de sinalização viaria . patente de modelo de utilidade consiste em produzir no pavimento, um canal ou baixo relevo de acordo como desenho da sinalização e caracterizado por encher esse canal por fraguado denro do mesmo ou pré- fabricado e soldado na superficie do canal materias solidarios ao pavimento e solidarios entre si. em pavimentos já construidos caracterizado porque o canal se produz mediante uma maquina com eixo com varios discos de separação entre si, em pavimentos a serem construidos, caracterizado por utlilizar um modelo de dimensões adecuadas as canal da sinalização .",BERARDO DANIEL (UY); RAPELA RAUL (UY); VALLARINO RUBEN (UY),BERARDO DANIEL (UY); RAPELA RAUL (UY); VALLARINO RUBEN (UY),E01C19/23; E01C23/16; E01F9/00,3,,0,AR10279796A; BR7601003U,2,1998-01-07,2017-01-24,228,0,0,0,0,0,
039865243,DK08716471T,2008-03-12,DK2253008T3,2017-05-08,PLASMASYSTEM,,ALYTUS CORP S A (UY),BIANA LUIS SANTIAGO (AR); BIANA RICARDO ENRIQUE (AR),C23C16/04; C23C16/50; H01J37/32,3,"C23C16/045 (EP,KR,US); C23C16/455 (KR); C23C16/50 (EP,KR,US); H01J37/32458 (EP,KR,US); H01J37/32568 (EP,KR,US); H05H1/24 (KR)",6,ARP090100853A; BRPI0822520A; CA2718253A; CN200880127994A; DK08716471T; EP08716471A; EP2008001967W; ES08716471T; JP2010550032A; KR20107022140A; MX2010009997A; RU2010140972A; US92195208A,12,2009-09-17,2019-05-21,116,0,0,0,0,0,
039865243,ES08716471T,2008-03-12,ES2621951T3,2017-07-05,Sistema de plasma,"Un sistema de plasma para la deposición química de vapor asistida por plasma, comprendiendo el sistema: una cámara de vacío (1), al menos dos electrodos, un sustrato, y una materia a ionizar para depositarse sobre al menos una superficie deseada del sustrato, en el que el sustrato comprende una pieza de trabajo tubular (2) que tiene dos extremos (4, 5), siendo al menos uno de los dos extremos (4, 5) un extremo abierto que se cierra por una tapa de extremo extraíble (6, 7) de manera que la cámara de vacío (1) se define por la pieza de trabajo (2) y la tapa (6, 7), y en el que la pieza de trabajo (2) define uno de los electrodos extendiéndose el otro electrodo (3, 3a, 3b) a través de la tapa de extremo (6, 7) y al interior de la pieza de trabajo (2), y siendo al menos una superficie deseada del sustrato definida por una superficie interior de la pieza de trabajo tubular (2), en el que los al menos dos electrodos comprenden un electrodo periférico formado por la pieza de trabajo tubular (2) y un electrodo central formado por dicho otro electrodo (3, 3a, 3b), en el que el electrodo central (3, 3a, 3b) comprende un electrodo tubular que tiene una pluralidad de conductos (28, 29, 30) en comunicación fluida con la cámara de vacío (1), caracterizado en que la pluralidad de conductos (28, 29, 30 ) del electrodo tubular comprenden al menos un conducto de gas (28) para conducir el gas de proceso a la cámara de vacío (1), al menos un conducto de precursor (29) para conducir una materia precursora a la cámara de vacío (1) y al menos una conducto de vacío (30) para la generación de vacío en la cámara de vacío (1), el conducto de gas (28), el conducto de precursor (29) y el conducto de vacío (30) están dispuestos de forma concéntrica en el electrodo tubular, cada uno del conducto de gas ( 28) y el conducto de precursor (29) disponen de boquillas de difusión (31, 32) a la cámara de vacío (1) y el conducto de vacío (30) está provisto de al menos un puerto de succión (33) abierto a la cámara de vacío (1).",ALYTUS CORP S A (UY),BIANA LUIS SANTIAGO; BIANA RICARDO ENRIQUE,C23C16/04; C23C16/50; H01J37/32,3,"C23C16/045 (EP,KR,US); C23C16/455 (KR); C23C16/50 (EP,KR,US); H01J37/32458 (EP,KR,US); H01J37/32568 (EP,KR,US); H05H1/24 (KR)",6,ARP090100853A; BRPI0822520A; CA2718253A; CN200880127994A; DK08716471T; EP08716471A; EP2008001967W; ES08716471T; JP2010550032A; KR20107022140A; MX2010009997A; RU2010140972A; US92195208A,12,2009-09-17,2019-05-21,116,0,0,0,0,0,
040365259,DK09828669T,2009-11-23,DK2361876T3,2018-09-10,GJORD TIL HESTESADLER,,SANCHEZ MARTINEZ CONSTANTINO (ES); SUGLIANO OLIVERA GUSTAVO (UY),SANCHEZ MARTINEZ CONSTANTINO (ES); SUGLIANO OLIVERA GUSTAVO (UY),B68C1/14,1,"B68C1/14 (EP,US)",1,DK09828669T; EP09828669A; ES09828669T; ES200802426U; ES2009070519W; FR0953390A; PL09828669T; PT09828669T; US200913124307A,7,2009-03-01,2019-01-31,118,0,0,0,0,0,
040365259,PT09828669T,2009-11-23,PT2361876T,2018-10-15,['GIRTH FOR HORSE SADDLES'],,CONSTANTINO SANCHEZ MARTINEZ (ES); GUSTAVO SUGLIANO OLIVERA (UY),CONSTANTINO SANCHEZ MARTINEZ (ES); GUSTAVO SUGLIANO OLIVERA (UY),B68C1/14,1,"B68C1/14 (EP,US)",1,DK09828669T; EP09828669A; ES09828669T; ES200802426U; ES2009070519W; FR0953390A; PL09828669T; PT09828669T; US200913124307A,7,2009-03-01,2019-01-31,118,0,0,0,0,0,
040365259,PL09828669T,2009-11-23,PL2361876T3,2019-01-31,['GIRTH FOR HORSE SADDLES'],,SANCHEZ MARTINEZ CONSTANTINO (ES); SUGLIANO OLIVERA GUSTAVO (UY),SANCHEZ MARTINEZ CONSTANTINO (ES); SUGLIANO OLIVERA GUSTAVO (UY),B68C1/14,1,"B68C1/14 (EP,US)",1,DK09828669T; EP09828669A; ES09828669T; ES200802426U; ES2009070519W; FR0953390A; PL09828669T; PT09828669T; US200913124307A,7,2009-03-01,2019-01-31,118,0,0,0,0,0,
040591558,US201715492365A,2017-04-20,US10213500B2,2017-10-12,"['MULTICOMPONENT OR MONOCOMPONENT VACCINE TO BE USED AGAINST CHAGAS DISEASE, PHARMACEUTICAL COMPOSITIONS CONTAINING THEM, PROCEDURE FOR THE OBTENTION OF IMMUNOGEN OF SAID VACCINES, AND NUCLEIC ACID USED IN SAID PROCEDURE']","A monocomponent vaccine effective to moderate the clinical consequences of Chages disease, capable of stimulating an immune response against the trans-sialidase virulence factor of the Trypanosoma cruzi parasite. The vaccine active ingredient is an immunogenic component with a polynucleotide encoding one or more polypeptide(s) which includes a C-terminal region composed of at least two repetitive units of amino acids, with a polypeptide with trans-sialidase activity of Trypanosoma cruzi fused to the C-terminal region. The vaccine further comprises an aluminum oxide adjuvant that does not inhibit trans-sialidase enzymatic activity of the immunogen portion.",DE BAEREMAECKER BARROS CARLOS (UY); DE BAEREMAECKER BARROS CARLOS (UY),DE BAEREMAECKER BARROS CARLOS (UY); DE BAEREMAECKER BARROS CARLOS (UY),A61K39/002; A61K39/005,2,"A61K39/002 (US); A61K39/005 (EP,US); A61P31/04 (EP); A61P37/00 (EP); A61P37/02 (EP); A61P37/04 (EP); A61K2039/53 (EP,US); A61K2039/55505 (EP,US); A61K2039/55522 (EP,US); A61K2039/55527 (EP,US); A61K39/00 (EP,US); Y02A50/30 (EP,US)",12,ARP070104827A; BRPI0805753A; CA2702534A; CO10058905A; CR11334A; DO2010000083A; ECSP10010055A; EP08844056A; ES08844056T; GT201000066A; HN2010000750A; IB2008002923W; MX2010004626A; NI201000071A; PA8816401A; PE2008001858A; PE2013002770A; US201414529454A; US201715492365A; US74039308A; UY31451A,18,2009-04-15,2019-02-26,118,0,0,0,0,0,
042133620,US201715660634A,2017-07-26,US2017339373A1,2017-11-23,['METHODS FOR THE COVERT TRANSMISSION OF DATA'],"A method for determining an identifier of a conditional access card used in a conditional access system, in which the conditional access card autonomously modulates the timing of data packets sent by the conditional access card, to form a timing sequence that corresponds to the identifier of the card. The sequence is generated by a predefined non-linear function stored on the conditional access card, and the predefined non-linear function depends on both the identifier of the conditional access card and a non-linear random sequence that is known to the conditional access card and a monitoring station that receives transmissions from the conditional access card.",KOEMMERLING OLIVER (UY),KOEMMERLING OLIVER (UY),H04N21/418; H04N21/6332; H04N21/6377; H04N7/167,4,"H04N21/4181 (EP,US); H04N21/6332 (EP,US); H04N21/63775 (EP,US); H04N7/1675 (US); H04N21/26606 (EP,US)",5,EP09806121A; IB2009007825W; US200913512083A; US201414450635A; US201715660634A; US201916551410A; US202117512154A,3,2011-06-03,2022-02-17,128,0,0,0,0,0,
