familyNumber,applicationNumber,applicationDate,publicationNumber,publicationDate,patentName,abstract,applicant,inventor,IPC,IPC_count,CPC,CPC_count,familyMembers (appNum),geographicalExtensions,familyDates_min,familyDates_max,timeDifference,backwardCitationsESpaceRaw,backwardCitationsESpaceA,backwardCitationsESpaceB,backwardCitationsGoogle,forwardCitationsGoogle,publicationNumberGoogle
042797291,BR112012022330A,2011-03-03,BR112012022330A2,2017-05-23,processo de obtenção de composições de biossolventes por esterificação e composições de biossolventes obtidas,"PROCESSO DE SÍNTESE DE UMA COMPOSIÇÃO E COMPOSIÇÃO A presente invenção trata de um processo de síntese de uma composição que compreende pelo menos um éster de ácido proveniente da biomassa e um biossolvente orgânico, o qual processo compreenda reação de esterificação entre pelo menos um ácido proveniente da biomassa e pelo menos um álcool, em presença de um catalisador ácido e do biossolvente orgânico, e referido biossolvente orgânico é seletivo do éster ou dos ésteres formados em relação ao ácido ou aos ácidos de partida e não miscível na solução alcoólica do ácido proveniente da biomassa.",CENTRE NAT DE LA RECH SCIENT (C N R S) (FR); UNIVERSITÉ CLAUDE BERNARD LYON 1 (FR); UNIV CLAUDE BERNARD LYON (FR); CENTRE NAT RECH SCIENT (FR); INST VIETNAMIEN DE CHIMIE INDUSTRIELLE (VN); CENTRE NAT RECH SCIENT (FR); INST VIETNAMIEN DE CHIMIE INDUSTRIELLE (VN); UNIV CLAUDE BERNARD LYON (FR),GILBERT SAPALY (FR); NADINE ESSAYEM (FR); THI THU HA VU (VN); THI THU TRANG NGUYEN (VN); THI THUY HA NGUYEN (JP); NADINE ESSAYEM (FR); GILBERT SAPALY (FR); THI THU HA VU (VN); THI THUY HA NGUYEN (JP); THI THU TRANG NGUYEN (VN); GILBERT SAPALY (FR); NADINE ESSAYEM (FR); THI THU HA VU (VN); THI THU TRANG NGUYEN (VN); THI THUY HA NGUYEN (JP),C07C67/08; C07C67/58,2,"C07C67/03 (EP,US); C07C67/08 (EP,US); C09D7/20 (EP,US); C09D9/005 (EP,US); C09K3/00 (US)",5,BR112012022330A; EP11712956A; FR1051570A; FR2011050441W; US201113582153A,4,2011-09-09,2018-11-13,86,0,0,0,0,0,
043386936,BR112012001663A,2010-09-14,BR112012001663A2,2018-03-13,"copolímeros, partículas poliméricas compreendendo ditos copolímeros, e aglutinantes copolímeros para composições de revestimento sensíveis à radiação para placas de impressão litográficas sensíveis à radiação de trabalho negativo","copolímeros, partículas poliméricas compreendendo ditos copolímeros, e aglutinantes copoliméricos para composições de revestimento sensíveis à radiação para placas de impressão litográficas sensíveis à radiação de trabalho negativo é provido um copolímero e partículas poliméricas compreendendo o copolímero , um método de produzir uma partícula polimérica , um aglutinante copolimérico , um método de produzir um aglutinante copolimérico , uma composição de revestimento sensível à radiação quase infravermelho, uma placa de impressão de deslocamento litográfico de trabalho negativo, um método de p roduzir uma placa de impressão de deslocamento lito gráf ico de trabalho negativo e métodos de formar imagem da placa e imprimir a placa com a imagem formada.",MYLAN GROUP (VN); MYLAN GROUP (VN),MARC-ANDRÉ LOCAS (CA); MY T NGUYEN (CA); MARC-ANDRÉ LOCAS (CA); MY T NGUYEN (CA),C08F212/10; C08F212/14; C08F220/10; C08F220/36; C08F220/54; C08F290/06; C09D133/14; G03F7/004,8,"B41C1/1008 (EP,KR,US); C07C233/18 (EP,KR,US); C07C255/19 (EP,KR,US); C07C255/33 (EP,KR,US); C07C271/16 (EP,KR,US); C07C271/28 (EP,KR,US); C07C275/10 (EP,KR,US); C07D207/40 (EP,KR,US); C07D295/215 (EP,KR,US); C07F9/091 (EP,KR,US); C08F212/08 (KR); C08F212/10 (KR); C08F220/06 (KR); C08F220/14 (KR); C08F220/26 (KR); C08F220/36 (EP,KR,US); C08F220/42 (EP,KR,US); C08F220/50 (US); C08F220/60 (EP,US); C08F220/70 (US); C08F230/02 (KR); C09D133/14 (KR); G03F7/0045 (KR); G03F7/027 (EP,KR,US); G03F7/029 (EP,KR,US); G03F7/033 (EP,KR,US); B41C2210/04 (EP,KR,US); B41C2210/08 (EP,KR,US); B41C2210/22 (EP,KR,US); B41C2210/24 (EP,KR,US); C08F212/08 (EP,US); C08F220/06 (EP,US); C08F230/02 (EP,US)",33,AU2010265775A; BR112012001663A; CA2010001400W; CA2768722A; CN201080039062A; EP10791128A; HK12108752A; IN777DEN2012A; JP2012528202A; KR20127009166A; MX2012002015A; RU2012102774A; TW99131138A; UAA201200742A; US201013391363A,14,2010-12-29,2020-02-11,110,0,0,0,0,0,
043921186,HUE10825873A,2010-06-11,HUE031461T2,2017-07-28,['GALLOTANNIC COMPOUNDS FOR LITHOGRAPHIC PRINTING PLATE COATING COMPOSITIONS'],,MYLAN GROUP (VN),NGUYEN MY T (VN); PHAN A KHA (VN); NGUYEN QUOC KHOI (VN); LOCAS MARC-ANDRE (CA),B41C1/10; C07G3/00; C09K23/00; G03F7/12,4,"B41C1/10 (KR); B41C1/1008 (EP,US); C07D309/10 (EP,US); C07G3/00 (KR); C07H13/08 (EP,KR,US); G03F7/022 (EP,US); G03F7/027 (EP,US); G03F7/038 (EP,US); G03F7/12 (KR); B41C2210/02 (EP,US); B41C2210/04 (EP,US); B41C2210/08 (EP,US); B41C2210/22 (EP,US); B41C2210/24 (EP,US)",14,AU2010312263A; BRPI1010588A; CA2010000862W; CA2763435A; CN201080037461A; EP10825873A; HK12104847A; HUE10825873A; JP2012535556A; KR20127007809A; MX2011013975A; RU2011151989A; TW99122332A; UAA201200521A; US201013390285A,14,2011-05-01,2017-07-28,74,0,0,0,0,0,
045565690,US202217985881A,2022-11-13,US11816743B1,2023-11-14,['Information enhancing method using software agents in a social networking system'],"An information enhancing method for use with a social networking system using a plurality of machine systems comprising: causing a software agent that is structured to be able to search for new content data to add to the social networking system which is organized by topics; measuring current focus and implicit vote values of the users to detect type of user interaction; in response to the current focus and implicit vote value measurements, automatically repeating updates to content data and trending data corresponding to the topics; and determine what to present to the users.",RAPAPORT JEFFREY ALAN (VN),RAPAPORT JEFFREY ALAN (VN); RAPAPORT SEYMOUR (US); SMITH KENNETH ALLEN (US); BEATTIE JAMES (US); GIMLAN GIDEON (US),G06F3/14; G06Q30/02; G06Q30/06; G06Q50/00,4,"G06Q30/02 (EP,US); G06Q50/01 (EP,US)",2,US202217985881A; US85408210A,1,2012-02-16,2023-11-14,141,0,0,0,0,0,
046800222,KR20187002760A,2012-07-09,KR20180029231A,2018-03-20,['ORTHOPEDIC PILLOW FOR TREATMENT AND PREVENTION OF LUMBAR AND THORACIC SPINE DISEASES'],"기형교정 베개는 내부에 완전히 삽입된 경질 블록을 갖는 패드 부재를 포함한다. 상기 패드 부재의 형상은 직사각형 블록의 것과 거의 유사하다; 그러나, 만일 그 오른쪽 또는 왼쪽에서 보는 경우, 상기 패드 부재는 벨 형상을 갖는다. 상기 패드 부재의 긴 측면의 길이는 성인의 신체 폭과 거의 동일하다. 상기 경질 블록은 비-탄성 재료로 제조된다. 상기 경질 블록은 인체와 유사한 형상 및 크기를 가진, 대략 140kg의 질량 상의 중력을 파열없이 견딜 수 있다. 상기 경질 블록 및 패드 부재의 형상은 유사하고, 그들의 크기는 서로 비례한다. 상기 경질 블록의 긴 측면의 길이는 성인의 신체 폭과 거의 동일하다. 상기 패드 부재 및 경질 블록 모두는 평평한 바닥면을 갖는다.",KIM THI PHAM LOAN (VN),KIM THI PHAM LOAN (VN),A47C16/00; A47C20/00,2,"A47C16/00 (KR); A47C20/00 (KR); A47C20/027 (EP,US); A47G9/10 (US)",4,AU2012385226A; AU2016273948A; CA2901108A; CY211101081T; DK12756023T; EP12756023A; ES12756023T; HK15109173A; HRP20211928T; HUE12756023A; IB2012053508W; KR20157003442A; KR20187002760A; KR20197014450A; LT12053508T; PL12756023T; PT12756023T; SG11201500977VA; US201214421653A,16,2014-01-16,2022-11-25,106,0,0,0,0,0,
046800222,KR20197014450A,2012-07-09,KR20190082234A,2019-07-09,['ORTHOPEDIC PILLOW FOR TREATMENT AND PREVENTION OF LUMBAR AND THORACIC SPINE DISEASES'],"기형교정 베개는 내부에 완전히 삽입된 경질 블록을 갖는 패드 부재를 포함한다. 상기 패드 부재의 형상은 직사각형 블록의 것과 거의 유사하다; 그러나, 만일 그 오른쪽 또는 왼쪽에서 보는 경우, 상기 패드 부재는 벨 형상을 갖는다. 상기 패드 부재의 긴 측면의 길이는 성인의 신체 폭과 거의 동일하다. 상기 경질 블록은 비-탄성 재료로 제조된다. 상기 경질 블록은 인체와 유사한 형상 및 크기를 가진, 대략 140kg의 질량 상의 중력을 파열없이 견딜 수 있다. 상기 경질 블록 및 패드 부재의 형상은 유사하고, 그들의 크기는 서로 비례한다. 상기 경질 블록의 긴 측면의 길이는 성인의 신체 폭과 거의 동일하다. 상기 패드 부재 및 경질 블록 모두는 평평한 바닥면을 갖는다.",KIM THI PHAM LOAN (VN),KIM THI PHAM LOAN (VN),A47C16/00; A47C20/00,2,"A47C16/00 (KR); A47C20/00 (KR); A47C20/027 (EP,US); A47G9/10 (US)",4,AU2012385226A; AU2016273948A; CA2901108A; CY211101081T; DK12756023T; EP12756023A; ES12756023T; HK15109173A; HRP20211928T; HUE12756023A; IB2012053508W; KR20157003442A; KR20187002760A; KR20197014450A; LT12053508T; PL12756023T; PT12756023T; SG11201500977VA; US201214421653A,16,2014-01-16,2022-11-25,106,0,0,0,0,0,
046800222,DK12756023T,2012-07-09,DK2869731T3,2021-12-13,Ortopædisk pude til behandling og forebyggelse af lænde- og torakisk rygsygdomme,,KIM THI PHAM LOAN (VN),KIM THI PHAM LOAN (VN),A47C16/00; A47C20/00,2,"A47C16/00 (KR); A47C20/00 (KR); A47C20/027 (EP,US); A47G9/10 (US)",4,AU2012385226A; AU2016273948A; CA2901108A; CY211101081T; DK12756023T; EP12756023A; ES12756023T; HK15109173A; HRP20211928T; HUE12756023A; IB2012053508W; KR20157003442A; KR20187002760A; KR20197014450A; LT12053508T; PL12756023T; PT12756023T; SG11201500977VA; US201214421653A,16,2014-01-16,2022-11-25,106,0,0,0,0,0,
046800222,PL12756023T,2012-07-09,PL2869731T3,2022-01-31,['ORTHOPEDIC PILLOW FOR TREATMENT AND PREVENTION OF LUMBAR AND THORACIC SPINE DISEASES'],,KIM THI PHAM LOAN (VN),KIM THI PHAM LOAN (VN),A47C16/00; A47C20/00,2,"A47C16/00 (KR); A47C20/00 (KR); A47C20/027 (EP,US); A47G9/10 (US)",4,AU2012385226A; AU2016273948A; CA2901108A; CY211101081T; DK12756023T; EP12756023A; ES12756023T; HK15109173A; HRP20211928T; HUE12756023A; IB2012053508W; KR20157003442A; KR20187002760A; KR20197014450A; LT12053508T; PL12756023T; PT12756023T; SG11201500977VA; US201214421653A,16,2014-01-16,2022-11-25,106,0,0,0,0,0,
046800222,HUE12756023A,2012-07-09,HUE056647T2,2022-02-28,['ORTHOPEDIC PILLOW FOR TREATMENT AND PREVENTION OF LUMBAR AND THORACIC SPINE DISEASES'],,KIM THI PHAM LOAN (VN),KIM THI PHAM LOAN,A47C16/00; A47C20/00,2,"A47C16/00 (KR); A47C20/00 (KR); A47C20/027 (EP,US); A47G9/10 (US)",4,AU2012385226A; AU2016273948A; CA2901108A; CY211101081T; DK12756023T; EP12756023A; ES12756023T; HK15109173A; HRP20211928T; HUE12756023A; IB2012053508W; KR20157003442A; KR20187002760A; KR20197014450A; LT12053508T; PL12756023T; PT12756023T; SG11201500977VA; US201214421653A,16,2014-01-16,2022-11-25,106,0,0,0,0,0,
046800222,HRP20211928T,2012-07-09,HRP20211928T1,2022-03-18,['ORTHOPEDIC PILLOW FOR TREATMENT AND PREVENTION OF LUMBAR AND THORACIC SPINE DISEASES'],,LOAN PHAM THI KIM (VN),LOAN PHAM THI KIM (VN),A47C16/00; A47C20/00,2,"A47C16/00 (KR); A47C20/00 (KR); A47C20/027 (EP,US); A47G9/10 (US)",4,AU2012385226A; AU2016273948A; CA2901108A; CY211101081T; DK12756023T; EP12756023A; ES12756023T; HK15109173A; HRP20211928T; HUE12756023A; IB2012053508W; KR20157003442A; KR20187002760A; KR20197014450A; LT12053508T; PL12756023T; PT12756023T; SG11201500977VA; US201214421653A,16,2014-01-16,2022-11-25,106,0,0,0,0,0,
